sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
807,板橋區,八德公園,25.02378,121.47482,14.0,3.7,6.7,0.0,0.0,2.0
808,板橋區,力行新村,24.99917,121.44347,12.0,3.8,4.1,0.2,0.0,5.4
809,板橋區,南雅公園,25.00376,121.45526,45.0,9.8,12.8,0.0,0.0,0.1
810,板橋區,南雅東路(画世代社區),25.00748,121.45364,40.0,0.1,3.7,0.0,1.7,0.1
811,板橋區,南雅西路一段(画世代社區),25.00688,121.45271,40.0,0.1,5.3,0.0,3.3,0.1
812,板橋區,南雅西路二段145巷,25.01171,121.45172,18.0,13.0,7.3,7.6,0.0,2.8
813,板橋區,四川忠孝路口,25.00149,121.45924,39.0,5.7,9.2,0.0,0.0,5.1
814,板橋區,四川遠東路口,24.99856,121.45759,60.0,15.2,15.0,2.5,0.0,17.2
815,板橋區,四維公園地下停車場,25.02569,121.46392,93.0,11.2,16.9,0.0,0.0,0.3
816,板橋區,國光公園,25.0198,121.454,42.0,17.8,9.6,10.8,0.0,1.3
817,板橋區,國光里(國光路),25.0178,121.45847,43.0,17.6,15.5,4.7,0.0,0.4
818,板橋區,國慶路149巷口,24.99605,121.46151,14.0,5.7,4.0,2.5,0.0,2.8
819,板橋區,國泰街111巷口,25.00609,121.46617,43.0,16.0,11.7,6.7,0.0,0.1
820,板橋區,埔墘國小,25.01908,121.47372,34.0,9.8,8.1,3.2,0.0,0.3
821,板橋區,埤墘公園,25.02332,121.47422,37.0,11.0,10.6,2.1,0.0,0.4
822,板橋區,夢奇地公園(文化路一段),25.017,121.4638,45.0,6.5,7.9,0.0,0.0,11.9
823,板橋區,大明街20巷19弄口,25.00306,121.45714,43.0,10.1,11.9,0.0,0.0,3.7
824,板橋區,大觀國中,25.01076,121.44698,99.0,5.1,4.8,1.1,0.0,5.1
825,板橋區,大觀段平面停車場,25.005,121.45064,18.0,2.8,7.2,0.0,4.0,3.0
826,板橋區,大觀路一段75巷,25.00406,121.44925,16.0,1.7,6.6,0.0,4.6,1.8
827,板橋區,大觀路二段19巷,25.00256,121.45079,29.0,4.5,8.2,0.0,0.0,1.3
828,板橋區,大觀路二段1巷,25.00382,121.44863,24.0,1.8,6.6,0.0,4.5,0.8
829,板橋區,大觀路二段265巷3弄口,24.99828,121.44286,10.0,7.3,3.8,4.7,0.0,7.8
830,板橋區,崑崙公園,24.99341,121.42964,32.0,3.3,5.3,0.0,0.0,4.7
831,板橋區,崑崙活力廣場,24.99402,121.43294,52.0,2.4,4.7,0.0,0.0,25.4
832,板橋區,府中汽車停車場,25.00745,121.45882,28.0,11.4,15.9,0.0,0.0,1.3
833,板橋區,府中立體停車場,25.00979,121.45436,15.0,10.8,7.2,5.2,0.0,2.5
834,板橋區,廣福公園,24.991644,121.462875,30.0,3.5,7.9,0.0,3.9,2.8
835,板橋區,後埔國小,25.00339,121.4643,12.0,10.1,5.3,6.3,0.0,5.6
836,板橋區,後埔國小(實踐路/重慶路155巷口),25.00412,121.46417,24.0,5.1,5.1,0.7,0.0,2.7
837,板橋區,忠孝國中,25.00488,121.46129,66.0,4.3,6.8,0.0,0.0,2.5
838,板橋區,忠孝國中地下停車場,25.00378,121.46241,20.0,5.8,4.0,2.7,0.0,7.6
839,板橋區,懷德街233巷(環翠社區),25.029,121.48148,40.0,1.0,7.8,0.0,5.8,0.3
840,板橋區,懷石公園,25.03114,121.48137,17.0,3.9,3.7,0.8,0.0,6.5
841,板橋區,振義里公園,25.02389,121.48397,30.0,3.0,6.1,0.0,2.6,0.7
842,板橋區,捷運亞東醫院站(2號出口),24.99763,121.4522,52.0,30.7,23.3,12.0,0.0,18.2
843,板橋區,捷運亞東醫院站(3號出口),24.99821,121.45258,56.0,25.7,24.4,5.1,0.0,12.3
844,板橋區,捷運府中站(1號出口),25.00821,121.45904,91.0,46.0,53.7,0.0,0.0,5.6
845,板橋區,捷運府中站(3號出口),25.009,121.459,69.0,44.1,29.1,21.5,0.0,8.6
846,板橋區,捷運新埔民生站,25.02598,121.46657,40.0,8.7,15.0,0.0,0.0,8.9
847,板橋區,捷運新埔站(1號出口),25.0235,121.46745,99.0,51.9,48.5,11.2,0.0,11.0
848,板橋區,捷運新埔站(2號出口),25.02237,121.46779,60.0,26.7,26.9,3.8,0.0,16.2
849,板橋區,捷運新埔站(3號出口),25.02247,121.46868,20.0,7.2,5.9,2.4,0.0,31.4
850,板橋區,捷運新埔站(4號出口),25.02341,121.46857,70.0,19.1,18.4,3.6,0.0,19.1
851,板橋區,捷運新埔站(5號出口),25.0235,121.46808,79.0,26.9,30.6,0.3,0.0,11.6
852,板橋區,捷運板新站,25.01409,121.47124,96.0,13.2,23.0,0.0,0.0,1.6
853,板橋區,捷運板橋站(1號出口),25.01335,121.46202,86.0,41.3,31.4,16.0,0.0,12.3
854,板橋區,捷運板橋站(3號出口),25.01452,121.46179,89.0,36.2,41.4,0.2,0.0,18.4
855,板橋區,捷運江子翠站(1號出口),25.03043,121.47162,13.0,4.1,3.1,1.6,0.0,41.2
856,板橋區,捷運江子翠站(2號出口),25.02999,121.472,26.0,9.8,7.8,3.5,0.0,24.0
857,板橋區,捷運江子翠站(3號出口),25.02933,121.47195,60.0,30.2,28.6,6.2,0.0,20.3
858,板橋區,捷運江子翠站(4號出口),25.02946,121.47307,11.0,6.6,4.5,3.1,0.0,25.7
859,板橋區,捷運江子翠站(5號出口),25.03046,121.47291,31.0,13.6,15.3,0.3,0.0,15.1
860,板橋區,捷運江子翠站(6號出口),25.03106,121.47314,22.0,7.2,5.1,3.2,0.0,33.8
861,板橋區,捷運環狀線板橋站(5號出口),25.01598,121.46359,99.0,26.8,30.8,0.0,0.0,7.5
862,板橋區,文丘公園,25.02365,121.44966,15.0,1.1,6.1,0.0,4.1,0.1
863,板橋區,文化懷德街口,25.03359,121.47574,24.0,6.0,8.2,0.0,0.0,0.1
864,板橋區,文化路一段212巷口,25.02021,121.46639,20.0,5.6,3.3,3.2,0.0,22.6
865,板橋區,文化路二段182巷1弄,25.02926,121.47241,49.0,17.6,20.4,0.0,0.0,28.7
866,板橋區,文德國小(公館街),25.02145,121.45923,52.0,14.4,12.6,4.0,0.0,0.7
867,板橋區,文德新海路口,25.02353,121.46112,18.0,14.8,7.8,9.2,0.0,5.1
868,板橋區,文聖國小(松柏街50巷),25.02929,121.47611,12.0,5.2,5.9,0.0,0.0,3.4
869,板橋區,新北市政府(新府路),25.01245,121.4642,68.0,40.8,41.7,5.2,0.0,5.1
870,板橋區,新北市政府(新站路),25.01252,121.46653,74.0,48.4,44.4,11.2,0.0,5.9
871,板橋區,新北市政府板橋分局沙崙派出所,24.98842,121.43032,16.0,9.7,9.3,1.8,0.0,0.3
872,板橋區,新北市立圖書館總館,25.00147,121.45569,53.0,17.7,27.8,0.0,0.0,1.6
873,板橋區,新北市藝文中心,25.0262,121.47251,54.0,13.0,21.0,0.0,0.0,0.8
874,板橋區,新北市藝文中心(文化路二段124巷),25.02563,121.4714,37.0,6.0,8.0,0.0,0.0,2.7
875,板橋區,新崑公園,24.99968,121.43249,30.0,3.2,5.0,0.0,0.0,8.2
876,板橋區,新府區運路口,25.01016,121.46546,30.0,8.9,11.5,0.0,0.0,7.5
877,板橋區,新月二綠堤街口,25.02627,121.45526,21.0,10.0,7.9,3.6,0.0,3.1
878,板橋區,新民民族路口,25.0094,121.4638,20.0,5.1,7.6,0.0,0.0,4.0
879,板橋區,新海抽水站停車場,25.02776,121.45537,13.0,1.6,4.5,0.0,2.5,3.8
880,板橋區,新海長江路口,25.02788,121.45779,61.0,9.6,18.2,0.0,0.0,0.0
